Image_ID,Latitude,Longitude,County,Total_Cropland(Ha),Total_Pastureland(Ha),Total_Forestland(Ha),Low_Damage_Cropland(Ha),Moderate_Damage_Cropland(Ha),High_Damage_Cropland(Ha),Low_Damage_Pastureland(Ha),Moderate_Damage_Pastureland(Ha),High_Damage_Pastureland(Ha),Low_Damage_Forestland(Ha),Moderate_Damage_Forestland(Ha),High_Damage_Forestland(Ha)
1,1.0300981362998551,36.430188200654655,Turkana,0.0,12.22,84.33,0.0,0.0,0.0,5.47,5.47,1.28,24.17,38.51,21.65
55,3.1214659492585133,35.61963831979362,Turkana,22.8,33.74,32.52,20.61,2.04,0.15,31.25,2.4,0.09,23.35,8.71,0.46
53,2.2048250333429538,35.80163699635624,Turkana,0.0,100.53,8.03,0.0,0.0,0.0,83.34,16.2,0.99,6.16,1.8,0.07
52,2.1911706410243372,35.79525895783898,Turkana,0.0,164.68,1.52,0.0,0.0,0.0,143.43,20.38,0.87,1.39,0.13,0.0
51,3.011512158482284,35.88769560057489,Turkana,0.0,39.38,1.76,0.0,0.0,0.0,32.11,6.53,0.74,1.32,0.39,0.05
56,2.2067114954396043,35.78349102761702,Turkana,0.0,134.81,1.48,0.0,0.0,0.0,107.24,26.12,1.45,1.09,0.37,0.02
54,3.1220049384289847,35.64631828373197,Turkana,0.03,163.70000000000005,69.98,0.03,0.0,0.0,146.37,16.61,0.72,56.19,12.98,0.81
50,3.147606924026391,35.871346262403904,Turkana,0.37,180.17,18.43,0.37,0.0,0.0,158.31,21.25,0.61,14.01,4.11,0.31
62,2.1539803882617887,35.78879108779333,Turkana,0.0,35.17,0.6900000000000001,0.0,0.0,0.0,32.67,2.47,0.03,0.6,0.08,0.01
58,2.205543685570249,35.79022839224791,Turkana,0.0,145.06,6.09,0.0,0.0,0.0,117.52,26.3,1.24,4.74,1.34,0.01
57,2.1841637818082047,35.791575865174096,Turkana,0.0,136.98,0.05,0.0,0.0,0.0,121.91,14.51,0.56,0.05,0.0,0.0
61,2.901648199234466,35.244142531031656,Turkana,0.0,81.82000000000002,9.38,0.0,0.0,0.0,71.63,9.81,0.38,8.13,1.23,0.02
59,2.2200963931729856,35.75690089520708,Turkana,0.19,121.17,0.03,0.14,0.05,0.0,101.87,18.45,0.85,0.01,0.02,0.0
60,2.272558005765566,35.765255227349385,Turkana,0.0,231.05,0.05,0.0,0.0,0.0,148.51,74.88,7.66,0.02,0.03,0.0
64,2.271659690481446,35.72384289275148,Turkana,1.28,136.39,0.0,1.2,0.07,0.01,102.43,31.26,2.7,0.0,0.0,0.0
66,2.913416129456432,35.27657171278837,Turkana,0.3,176.3,30.66,0.16,0.11,0.03,137.70000000000002,37.29,1.31,19.96,9.69,1.01
63,3.1247897158097553,35.60023470965663,Turkana,51.47,0.67,1.41,46.92,4.43,0.12,0.62,0.04,0.01,1.28,0.12,0.01
65,3.025076719272489,35.90072117219462,Turkana,0.0,4.38,1.54,0.0,0.0,0.0,2.92,1.27,0.19,1.12,0.39,0.03
69,1.9861750931882618,36.11802363942313,Turkana,199.43,4.5600000000000005,0.6900000000000001,191.3,8.09,0.04,4.44,0.12,0.0,0.64,0.05,0.0
70,2.234199943133662,35.748816057650004,Turkana,21.65,179.27,2.36,13.38,7.07,1.2,96.98,64.44,17.85,1.32,0.77,0.27
71,2.2664494618335524,35.71099698418857,Turkana,0.0,133.08,0.09,0.0,0.0,0.0,86.05,38.87,8.16,0.08,0.01,0.0
67,2.674823589994287,36.24818952409204,Turkana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2.6136483191457476,36.23525378400072,Turkana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2.2336609539631906,35.74989403599095,Turkana,0.0,128.75,0.0,0.0,0.0,0.0,104.08,23.03,1.64,0.0,0.0,0.0
72,2.1900926626833934,35.81457273644756,Turkana,0.0,206.35,2.36,0.0,0.0,0.0,137.53,62.97,5.8500000000000005,1.58,0.73,0.05
73,2.2972616760788522,35.70884102750668,Turkana,55.47,264.68,0.02,18.15,29.44,7.88,140.84,102.65,21.19,0.02,0.0,0.0
78,2.6064617968727912,35.0370808580421,Turkana,0.0,338.66,22.6,0.0,0.0,0.0,191.82,130.42000000000002,16.42,11.95,8.3,2.35
76,2.5981074647304805,35.037440184155756,Turkana,0.0,337.58,65.8,0.0,0.0,0.0,207.01,119.04,11.53,31.25,29.51,5.04
77,2.601970220452194,35.04381822267301,Turkana,0.0,321.17,27.46,0.0,0.0,0.0,195.45,114.87,10.85,15.78,9.84,1.84
75,2.2739953102201564,35.72330390358101,Turkana,4.3500000000000005,194.45,0.0,2.9,1.19,0.26,116.69,60.86,16.9,0.0,0.0,0.0
83,2.610863541764977,35.045255527127594,Turkana,0.0,306.61,26.26,0.0,0.0,0.0,212.45,87.32000000000002,6.84,14.86,9.78,1.62
80,2.5869683552073983,35.020731519871134,Turkana,0.0,295.72,50.47,0.0,0.0,0.0,171.4,106.63,17.69,18.41,22.65,9.41
81,2.6017007258669578,35.03438591218975,Turkana,0.0,314.23,24.82,0.0,0.0,0.0,157.32,136.63,20.28,11.5,10.26,3.06
82,2.6123008462195685,35.04444704337189,Turkana,0.0,286.24,25.71,0.0,0.0,0.0,204.89,76.13,5.22,15.93,8.58,1.2
79,2.6011617366964863,35.03384692301928,Turkana,0.0,352.47,32.93,0.0,0.0,0.0,198.41,139.0,15.06,15.88,13.78,3.27
84,2.6091567427251503,35.04489620101394,Turkana,0.0,346.24,30.01,0.0,0.0,0.0,234.02,102.32,9.9,18.25,10.35,1.41
85,2.205543685570249,35.799121713560695,Turkana,0.0,173.33,0.11,0.0,0.0,0.0,111.31,55.03,6.99,0.07,0.04,0.0
86,2.266179967248317,35.75465510699678,Turkana,0.0,209.98,0.5700000000000001,0.0,0.0,0.0,136.99,66.54,6.45,0.37,0.18,0.02
87,2.2753427831463364,35.77100444516776,Turkana,2.15,236.87,1.63,1.13,0.86,0.16,143.9,84.63,8.34,1.18,0.44,0.01
89,2.232852470207483,35.72078862078547,Turkana,0.0,25.43,0.06,0.0,0.0,0.0,20.44,4.69,0.3,0.04,0.02,0.0
88,2.2169522896785674,35.71207496252951,Turkana,0.0,130.6,2.19,0.0,0.0,0.0,109.62,20.12,0.86,1.72,0.47,0.0
91,2.2154251536955636,35.79049788683315,Turkana,0.0,259.13,0.0,0.0,0.0,0.0,160.67000000000004,85.98,12.48,0.0,0.0,0.0
93,2.2750732885611002,35.76992646682682,Turkana,0.0,242.25,0.0,0.0,0.0,0.0,129.13,92.73,20.39,0.0,0.0,0.0
90,2.217311615792215,35.71207496252951,Turkana,0.0,165.94,2.62,0.0,0.0,0.0,139.70000000000002,25.13,1.11,2.08,0.54,0.0
92,2.2611494016572475,35.76444674359368,Turkana,0.0,230.99,1.19,0.0,0.0,0.0,138.87,82.36,9.76,0.79,0.37,0.03
95,2.279025875811226,35.722136093711654,Turkana,0.0,66.85,0.0,0.0,0.0,0.0,55.87000000000001,9.75,1.23,0.0,0.0,0.0
96,2.308939774772406,35.70102568453484,Turkana,3.66,128.29,0.0,3.11,0.52,0.03,108.04,18.79,1.46,0.0,0.0,0.0
94,2.270581712140503,35.72941244751303,Turkana,4.1,90.74,0.0,3.53,0.53,0.04,71.48,16.94,2.32,0.0,0.0,0.0
97,2.7923232291571205,35.18548254297865,Turkana,0.0,116.6,4.73,0.0,0.0,0.0,101.9,13.97,0.73,3.84,0.8200000000000001,0.07
101,2.4189833970770476,35.443478692577784,Turkana,0.0,28.33,3.87,0.0,0.0,0.0,21.89,5.87,0.5700000000000001,2.86,0.92,0.09
99,2.2691444076859115,35.726627670132245,Turkana,0.01,72.57000000000002,0.0,0.01,0.0,0.0,58.35,12.45,1.77,0.0,0.0,0.0
100,2.4158392935826294,35.43377688750928,Turkana,0.0,34.43,1.54,0.0,0.0,0.0,27.19,6.26,0.98,0.92,0.51,0.11
102,2.4147613152416856,35.42021232671908,Turkana,0.8,44.75,28.31,0.8,0.0,0.0,36.73,6.92,1.1,21.44,6.8500000000000005,0.02
98,2.8950904976603935,35.298221111135646,Turkana,0.0,106.09,1.16,0.0,0.0,0.0,95.08,10.38,0.63,0.95,0.19,0.02
106,2.2828886315329404,35.668506671249716,Turkana,0.0,110.88,0.26,0.0,0.0,0.0,96.13,14.39,0.36,0.16,0.09,0.01
103,2.428415707560302,35.4187750222645,Turkana,0.0,31.5,3.96,0.0,0.0,0.0,25.42,5.67,0.41,3.5,0.44,0.02
105,2.1808400152569627,35.759595841059436,Turkana,0.0,49.33,0.0,0.0,0.0,0.0,36.61,11.67,1.05,0.0,0.0,0.0
104,2.2194675724741018,35.75690089520708,Turkana,0.42,71.4,0.0,0.29,0.13,0.0,58.16,12.18,1.06,0.0,0.0,0.0
107,2.010609268916313,36.114430378286656,Turkana,1.98,207.37,7.99,1.64,0.26,0.08,166.93,36.81,3.63,5.93,2.01,0.05
110,2.191979124780045,35.80523025749271,Turkana,0.0,166.79,0.24,0.0,0.0,0.0,115.9,44.54,6.3500000000000005,0.14,0.09,0.01
109,2.2389610141394956,35.72833446917208,Turkana,0.0,10.0,0.75,0.0,0.0,0.0,5.09,4.11,0.8,0.38,0.28,0.09
111,2.1883858636435667,35.80379295303811,Turkana,0.0,112.72,0.66,0.0,0.0,0.0,80.89,27.96,3.87,0.4,0.24,0.02
108,1.9516797862780724,36.03097688839195,Turkana,84.45,24.95,2.3000000000000003,70.58,13.46,0.41,23.55,1.28,0.12,1.64,0.62,0.04
112,2.2733664895212735,35.73489217074615,Turkana,0.0,258.51,1.9,0.0,0.0,0.0,125.54,103.45,29.52,1.23,0.61,0.06
2,2.746958307309085,34.86711960628669,Turkana,0.0,85.61,21.67,0.0,0.0,0.0,58.56,21.5,5.55,14.33,5.97,1.37
115,2.2720190165950935,35.74710925861018,Turkana,0.0,312.69,2.91,0.0,0.0,0.0,132.34,133.82,46.53,1.69,1.0,0.22
113,2.2664494618335524,35.731927730308556,Turkana,4.41,220.28,0.31,3.42,0.95,0.04,138.36,69.01,12.91,0.16,0.11,0.04
114,2.273725815634921,35.73489217074615,Turkana,0.0,257.5,0.43,0.0,0.0,0.0,114.14,106.78,36.58,0.16,0.16,0.11
116,2.2564781621798264,35.73965324175198,Turkana,0.0,185.15,0.0,0.0,0.0,0.0,97.79,66.17,21.19,0.0,0.0,0.0
117,2.20419621264407,35.80055901801529,Turkana,0.0,179.67000000000004,0.05,0.0,0.0,0.0,129.42000000000002,45.44,4.8100000000000005,0.04,0.01,0.0
120,2.281181832493113,35.80990149697013,Turkana,0.0,153.94,0.67,0.0,0.0,0.0,88.87,50.29,14.78,0.42,0.13,0.12
118,2.290344648391132,35.79687592535039,Turkana,0.0,253.93,3.2,0.0,0.0,0.0,119.18,92.85,41.9,0.52,0.99,1.69
119,2.26034091790154,35.74333633441688,Turkana,0.0,228.87,0.38,0.0,0.0,0.0,99.74,85.94,43.19,0.01,0.16,0.21
123,2.2644731682084895,35.73022093126873,Turkana,1.51,199.03,0.0,0.88,0.5,0.13,124.97,62.33,11.73,0.0,0.0,0.0
4,1.1820032508444664,36.10275227959309,Turkana,0.89,121.15,15.42,0.49,0.39,0.01,79.78,38.39,2.98,8.97,5.5200000000000005,0.93
122,2.290075153805896,35.79687592535039,Turkana,0.05,241.87,0.68,0.04,0.01,0.0,147.28,81.87,12.72,0.38,0.28,0.02
121,1.9855462724893784,36.1080523397694,Turkana,184.64,9.31,5.07,139.38,33.4,11.86,7.35,1.36,0.6,3.03,1.36,0.68
