Image_ID,Latitude,Longitude,County,Total_Cropland(Ha),Total_Pastureland(Ha),Total_Forestland(Ha),Low_Damage_Cropland(Ha),Moderate_Damage_Cropland(Ha),High_Damage_Cropland(Ha),Low_Damage_Pastureland(Ha),Moderate_Damage_Pastureland(Ha),High_Damage_Pastureland(Ha),Low_Damage_Forestland(Ha),Moderate_Damage_Forestland(Ha),High_Damage_Forestland(Ha)
1,1.0300981362998551,36.430188200654655,Turkana,0.0,16.64,105.32,0.0,0.0,0.0,14.81,1.83,0.0,76.81,28.48,0.03
55,3.1214659492585133,35.61963831979362,Turkana,24.31,42.21,41.75,24.17,0.14,0.0,42.11,0.1,0.0,41.54,0.21,0.0
53,2.2048250333429538,35.80163699635624,Turkana,0.0,190.08,10.83,0.0,0.0,0.0,190.07,0.01,0.0,10.83,0.0,0.0
52,2.1911706410243372,35.79525895783898,Turkana,0.0,309.6,2.68,0.0,0.0,0.0,309.6,0.0,0.0,2.68,0.0,0.0
51,3.011512158482284,35.88769560057489,Turkana,0.0,57.78,3.06,0.0,0.0,0.0,57.67,0.11,0.0,3.06,0.0,0.0
56,2.2067114954396043,35.78349102761702,Turkana,0.0,133.3,1.97,0.0,0.0,0.0,133.3,0.0,0.0,1.97,0.0,0.0
54,3.1220049384289847,35.64631828373197,Turkana,0.03,185.29,95.02,0.03,0.0,0.0,185.18,0.11,0.0,94.89,0.13,0.0
50,3.147606924026391,35.871346262403904,Turkana,0.1,208.21,24.31,0.1,0.0,0.0,208.11,0.1,0.0,24.29,0.02,0.0
62,2.1539803882617887,35.78879108779333,Turkana,0.0,67.0,1.25,0.0,0.0,0.0,67.0,0.0,0.0,1.24,0.01,0.0
58,2.205543685570249,35.79022839224791,Turkana,0.0,199.31,9.23,0.0,0.0,0.0,199.31,0.0,0.0,9.23,0.0,0.0
57,2.1841637818082047,35.791575865174096,Turkana,0.0,320.92,0.09,0.0,0.0,0.0,320.92,0.0,0.0,0.09,0.0,0.0
61,2.901648199234466,35.244142531031656,Turkana,0.0,73.9,7.9,0.0,0.0,0.0,73.87,0.03,0.0,7.9,0.0,0.0
59,2.2200963931729856,35.75690089520708,Turkana,0.11,37.34,0.02,0.11,0.0,0.0,37.34,0.0,0.0,0.02,0.0,0.0
60,2.272558005765566,35.765255227349385,Turkana,0.0,280.26,0.07,0.0,0.0,0.0,280.26,0.0,0.0,0.07,0.0,0.0
64,2.271659690481446,35.72384289275148,Turkana,0.05,26.14,0.01,0.05,0.0,0.0,26.14,0.0,0.0,0.01,0.0,0.0
66,2.913416129456432,35.27657171278837,Turkana,0.19,102.56,32.51,0.19,0.0,0.0,102.55,0.01,0.0,32.31,0.2,0.0
63,3.1247897158097553,35.60023470965663,Turkana,66.7,0.74,1.77,66.65,0.05,0.0,0.74,0.0,0.0,1.77,0.0,0.0
65,3.025076719272489,35.90072117219462,Turkana,0.0,5.24,2.05,0.0,0.0,0.0,5.23,0.01,0.0,2.05,0.0,0.0
69,1.9861750931882618,36.11802363942313,Turkana,125.72,2.28,0.52,125.72,0.0,0.0,2.28,0.0,0.0,0.52,0.0,0.0
70,2.234199943133662,35.748816057650004,Turkana,5.1000000000000005,36.09,0.43,5.1000000000000005,0.0,0.0,36.09,0.0,0.0,0.43,0.0,0.0
71,2.2664494618335524,35.71099698418857,Turkana,0.0,92.72,0.06,0.0,0.0,0.0,92.71,0.01,0.0,0.06,0.0,0.0
67,2.674823589994287,36.24818952409204,Turkana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2.6136483191457476,36.23525378400072,Turkana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2.2336609539631906,35.74989403599095,Turkana,0.0,138.93,0.0,0.0,0.0,0.0,138.92000000000002,0.01,0.0,0.0,0.0,0.0
72,2.1900926626833934,35.81457273644756,Turkana,0.0,209.93,1.18,0.0,0.0,0.0,209.9,0.03,0.0,1.18,0.0,0.0
73,2.2972616760788522,35.70884102750668,Turkana,40.58,134.91,0.0,40.58,0.0,0.0,134.91,0.0,0.0,0.0,0.0,0.0
