lat,long,pixel_value,label
37.80910216177813,1.5837298459027165,30,herbaceous_vegetation
37.08380240138003,3.3134359254748547,60,bare_sparse_vegetation
37.07320228102741,3.3134359254748547,60,bare_sparse_vegetation
37.07661587910707,3.318196996480688,60,bare_sparse_vegetation
35.72662767013225,2.257915466634417,30,herbaceous_vegetation
37.0753582377093,3.318376659537512,60,bare_sparse_vegetation
37.07931082495943,3.3158613767419776,60,bare_sparse_vegetation
37.07598705840819,3.314334240758974,60,bare_sparse_vegetation
37.24235504902712,2.873980088483585,30,herbaceous_vegetation
37.08038880330037,3.314783398401034,60,bare_sparse_vegetation
37.24460083723742,2.8686800283072795,30,herbaceous_vegetation
35.942672495962995,3.1395220864693156,60,bare_sparse_vegetation
37.07625655299342,3.3154122190999176,60,bare_sparse_vegetation
35.93162321796833,3.1567697399244103,60,bare_sparse_vegetation
37.07625655299342,3.3179275018954524,60,bare_sparse_vegetation
35.916262026609886,3.1856954920730587,60,bare_sparse_vegetation
37.08038880330037,3.313705420060091,60,bare_sparse_vegetation
35.91159078713246,3.216956863960418,60,bare_sparse_vegetation
35.9104229772631,3.217585684659302,60,bare_sparse_vegetation
39.50566040736626,1.0081792433673389,20,shrubland
40.54267557135383,3.025436045386136,20,shrubland
41.52345619855552,3.8764999455609708,20,shrubland
35.93988771858223,2.355921664131857,60,bare_sparse_vegetation
35.759056851888964,2.212640376314793,30,herbaceous_vegetation
35.74019223092245,2.2684257554586154,30,herbaceous_vegetation
35.74989403599095,2.2534238902138193,30,herbaceous_vegetation
35.76516539582098,2.2619578854129547,30,herbaceous_vegetation
35.7720824235087,2.1987164894109408,30,herbaceous_vegetation
35.806038741248415,2.1834451295809085,30,herbaceous_vegetation
35.74486347039988,2.1837146241661447,30,herbaceous_vegetation
35.79741491452087,2.1750907974385973,30,herbaceous_vegetation
35.89658892188766,2.062891218452069,30,herbaceous_vegetation
35.73022093126873,2.2669884510040244,30,herbaceous_vegetation
35.7180038434047,2.2595324341458323,30,herbaceous_vegetation
35.806038741248415,2.1987164894109408,30,herbaceous_vegetation
35.72626834401861,2.257915466634417,30,herbaceous_vegetation
35.73022093126873,2.2668087879472,30,herbaceous_vegetation
35.71566822366599,2.2904344799195435,30,herbaceous_vegetation
35.71683603353535,2.288727680879717,30,herbaceous_vegetation
35.79741491452087,2.174821302853361,30,herbaceous_vegetation
35.75375679171266,2.26402401056643,30,herbaceous_vegetation
35.740731220092925,2.2681562608733796,30,herbaceous_vegetation
35.806038741248415,2.1983571632972927,30,herbaceous_vegetation
35.73875492646786,2.259801928731068,30,herbaceous_vegetation
35.74180919843387,2.2668087879472,30,herbaceous_vegetation
35.73516166533139,2.2304270189403597,30,herbaceous_vegetation
35.74486347039988,2.1834451295809085,30,herbaceous_vegetation
35.75411611782631,2.2651019889073734,30,herbaceous_vegetation
